iter	Logloss
0	0.6342989889
1	0.5804520082
2	0.540099669
3	0.5163180748
4	0.4934769534
5	0.4710680501
6	0.4553440394
7	0.442926214
8	0.4343419879
9	0.4277189448
10	0.421077814
11	0.4148768736
12	0.4100598967
13	0.4049965076
14	0.3978629809
15	0.3944826876
16	0.3927440858
17	0.3893555202
18	0.3863212071
19	0.3852819807
20	0.3829206831
21	0.3811595788
22	0.3791392466
23	0.3766174745
24	0.3752012789
25	0.3729562652
26	0.3714446164
27	0.3694408288
28	0.3674556432
29	0.3665750911
30	0.3656849379
31	0.3647724109
32	0.3638488684
33	0.3629423849
34	0.361274805
35	0.3608161841
36	0.3598351639
37	0.3586844755
38	0.3578884682
39	0.3565888137
40	0.3551213554
41	0.3546639775
42	0.3538296732
43	0.3525313045
44	0.3512602817
45	0.3507156158
46	0.3492500219
47	0.3479263649
48	0.3466070797
49	0.3458907738
50	0.344136806
51	0.3419328754
52	0.3409951885
53	0.3400210906
54	0.3388679162
55	0.33826768
56	0.3367007395
57	0.3359478297
58	0.3355754467
59	0.3344785712
60	0.3327263178
61	0.3321270889
62	0.3312708608
63	0.3302361135
64	0.3295726776
65	0.3279874995
66	0.3267530806
67	0.3246623264
68	0.3236324225
69	0.3221331821
70	0.3210598806
71	0.3201457677
72	0.3195765206
73	0.3176442264
74	0.3162942093
75	0.3147912186
76	0.3135874459
77	0.3127464552
78	0.3116717821
79	0.3099701914
80	0.3086073157
81	0.3075672535
82	0.3062467468
83	0.3051717094
84	0.3044501958
85	0.3036126555
86	0.3029967747
87	0.30168124
88	0.3000474565
89	0.2992492847
90	0.298277137
91	0.297183219
92	0.2959613371
93	0.2945067159
94	0.2931920598
95	0.292097756
96	0.2913244226
97	0.2906334481
98	0.289429011
99	0.2879994639
100	0.2865223402
101	0.2853760237
102	0.2849273467
103	0.2838311785
104	0.2829777578
105	0.2799753339
106	0.2794298751
107	0.2783864482
108	0.2777763752
109	0.2767374703
110	0.2756519103
111	0.2749332471
112	0.2736140905
113	0.2731949453
114	0.2719238153
115	0.2711748059
116	0.2703441234
117	0.2699689115
118	0.2692269315
119	0.2672917227
120	0.266645603
121	0.2660803206
122	0.2649393617
123	0.2642381647
124	0.2633730856
125	0.2624558224
126	0.2616634583
127	0.2611456453
128	0.2604095373
129	0.2600849023
130	0.2594368324
131	0.2585600092
132	0.2570672196
133	0.2556760552
134	0.2544048181
135	0.2535949236
136	0.2526136677
137	0.2518474707
138	0.2513614183
139	0.2504264532
140	0.2496933669
141	0.2490207801
142	0.24780162
143	0.2469188819
144	0.2460795628
145	0.2459519633
146	0.2449315532
147	0.24348484
148	0.2421238288
149	0.2410987254
150	0.2394935522
151	0.2390682778
152	0.2384330235
153	0.23789738
154	0.2372988154
155	0.2369354762
156	0.2362665541
157	0.2359592566
158	0.2356352217
159	0.2346588092
160	0.2338043384
161	0.2328473209
162	0.2323716839
163	0.2320737517
164	0.2313637037
165	0.2305644175
166	0.2300237591
167	0.2290742424
168	0.2283650516
169	0.2273927324
170	0.2268270428
171	0.2260617888
172	0.225184087
173	0.2247970667
174	0.2241027061
175	0.2235871004
176	0.2227671548
177	0.222512856
178	0.2211255706
179	0.2200925377
180	0.2198081284
181	0.2185699377
182	0.2176446593
183	0.2167682433
184	0.2155739002
185	0.2149684992
186	0.2145291232
187	0.2141051775
188	0.213315278
189	0.2123515954
190	0.2120723939
191	0.211787706
192	0.2114010286
193	0.2112975817
194	0.210623259
195	0.2098719136
196	0.2088305013
197	0.2085839818
198	0.2083515639
199	0.2081869533
200	0.2073748514
201	0.2068080688
202	0.2060293562
203	0.2054332776
204	0.2050732816
205	0.2046580368
206	0.2042580722
207	0.2040208109
