iter	Passed	Remaining
0	80	40158
1	84	21039
2	88	14621
3	91	11361
4	93	9272
5	96	7948
6	98	6943
7	100	6188
8	102	5611
9	105	5154
10	106	4753
11	109	4438
12	111	4165
13	113	3930
14	115	3735
15	118	3573
16	120	3412
17	122	3270
18	124	3148
19	126	3038
20	127	2915
21	129	2817
22	131	2726
23	133	2646
24	135	2567
25	137	2497
26	138	2423
27	140	2365
28	142	2312
29	143	2251
30	145	2198
31	147	2151
32	148	2107
33	150	2057
34	151	2016
35	153	1978
36	155	1945
37	156	1906
38	158	1871
39	160	1840
40	161	1808
41	163	1784
42	165	1757
43	167	1732
44	168	1707
45	170	1684
46	172	1662
47	174	1644
48	176	1623
49	178	1603
50	179	1583
51	181	1564
52	183	1546
53	185	1528
54	187	1513
55	189	1499
56	190	1483
57	192	1468
58	194	1454
59	196	1439
60	198	1425
61	199	1411
62	201	1397
63	203	1387
64	205	1374
65	207	1361
66	208	1349
67	210	1338
68	212	1326
69	214	1315
70	215	1304
71	216	1289
72	218	1279
73	220	1270
74	222	1260
75	224	1250
76	225	1241
77	227	1231
78	229	1223
79	231	1213
80	232	1204
81	234	1196
82	236	1188
83	238	1180
84	240	1172
85	241	1163
86	243	1156
87	245	1148
88	247	1140
89	248	1133
90	250	1126
91	252	1120
92	254	1113
93	255	1105
94	257	1098
95	259	1091
96	260	1082
97	262	1076
98	264	1069
99	265	1060
100	267	1055
101	269	1050
102	270	1044
103	272	1038
104	274	1031
105	275	1024
106	277	1018
107	278	1012
108	280	1005
109	282	1000
110	283	994
111	285	989
112	287	983
113	289	978
114	290	973
115	292	967
116	294	962
117	295	957
118	297	953
119	299	948
120	301	944
121	303	939
122	304	933
123	306	928
124	307	923
125	309	919
126	311	914
127	313	910
128	314	905
129	316	899
130	317	895
131	319	891
132	321	886
133	323	882
134	324	878
135	326	874
136	328	869
137	329	865
138	331	861
139	333	857
140	335	853
141	337	849
142	338	846
143	340	842
144	342	838
145	344	834
146	345	830
147	347	827
148	349	823
149	351	819
150	352	815
151	354	812
152	356	808
153	358	804
154	359	801
155	361	797
156	363	794
157	365	790
158	367	787
159	368	783
160	370	780
161	372	777
162	374	774
163	376	770
164	378	767
165	379	764
166	381	760
167	383	757
168	385	754
169	386	750
170	388	747
171	390	744
172	391	740
173	393	737
174	395	734
175	397	731
176	399	728
177	401	725
178	402	722
179	404	719
180	406	716
181	408	713
182	410	710
183	411	707
184	413	704
185	415	701
186	417	698
187	418	695
188	420	692
189	422	689
190	423	685
191	425	682
192	427	679
193	429	676
194	430	673
195	432	670
196	434	668
197	436	665
198	437	662
199	439	659
200	441	656
201	443	653
202	444	650
203	446	647
204	448	645
205	450	642
206	451	639
207	453	636
208	455	633
209	456	630
210	457	627
211	459	624
212	460	621
213	462	618
214	464	615
215	466	612
216	467	610
217	469	607
218	471	604
219	473	602
220	474	599
221	476	596
222	478	594
223	480	591
224	481	588
225	483	586
226	484	582
227	486	580
228	488	577
229	489	575
230	491	572
231	493	570
232	495	567
233	496	564
234	498	561
235	499	559
236	501	556
237	503	554
238	505	551
239	506	549
240	508	546
241	510	544
242	512	541
243	513	539
244	515	536
245	516	533
246	518	530
247	519	528
248	521	525
249	523	523
250	524	520
251	526	518
252	528	515
253	529	512
254	531	510
255	532	508
256	534	505
257	536	503
258	538	500
259	540	498
260	541	496
261	543	493
262	545	491
263	546	488
264	548	486
265	550	484
266	552	482
267	554	479
268	555	477
269	557	475
270	559	472
271	561	470
272	562	467
273	564	465
274	566	463
275	568	461
276	570	458
277	571	456
278	573	454
279	575	452
280	577	449
281	578	447
282	579	444
283	581	442
284	583	440
285	585	437
286	586	435
287	588	433
288	590	430
289	591	428
290	593	426
291	595	424
292	597	421
293	598	419
294	601	417
295	603	415
296	604	413
297	606	411
298	608	409
299	611	407
300	613	405
301	615	403
302	617	401
303	619	399
304	621	397
305	623	395
306	625	392
307	627	390
308	628	388
309	630	386
310	632	384
311	635	382
312	637	380
313	640	379
314	643	377
315	645	375
316	648	374
317	649	371
318	651	369
319	653	367
320	656	365
321	658	363
322	660	361
323	661	359
324	663	357
325	665	355
326	668	353
327	670	351
328	672	349
329	674	347
330	676	345
331	679	343
332	681	341
333	684	340
334	686	338
335	688	335
336	690	333
337	692	331
338	694	329
339	696	327
340	698	325
341	700	323
342	702	321
343	704	319
344	706	317
345	708	315
346	710	313
347	712	311
348	714	309
349	716	307
350	718	304
351	720	302
352	722	300
353	724	298
354	726	296
355	728	294
356	729	292
357	731	290
358	734	288
359	736	286
360	738	284
361	740	282
362	742	280
363	744	278
364	746	276
365	749	274
366	751	272
367	753	270
368	755	268
369	757	266
370	759	264
371	761	262
372	763	260
373	765	257
374	767	255
375	769	253
376	771	251
377	773	249
378	775	247
379	777	245
380	779	243
381	780	241
382	782	238
383	784	237
384	787	235
385	790	233
386	793	231
387	796	229
388	798	227
389	800	225
390	802	223
391	805	221
392	807	219
393	825	222
394	827	220
395	829	217
396	831	215
397	833	213
398	836	211
399	839	209
400	841	207
401	843	205
402	845	203
403	847	201
404	849	199
405	851	197
406	852	194
407	854	192
408	856	190
409	858	188
410	860	186
411	862	184
412	864	182
413	865	179
414	867	177
415	869	175
416	871	173
417	872	171
418	874	169
419	876	166
420	877	164
421	878	162
422	880	160
423	882	158
424	883	155
425	885	153
426	887	151
427	888	149
428	890	147
429	892	145
430	894	143
431	896	141
432	898	138
433	899	136
434	901	134
435	903	132
436	905	130
437	906	128
438	908	126
439	910	124
440	912	122
441	913	119
442	915	117
443	917	115
444	919	113
445	920	111
446	922	109
447	924	107
448	925	105
449	927	103
450	929	100
451	931	98
452	932	96
453	934	94
454	936	92
455	938	90
456	940	88
457	942	86
458	943	84
459	945	82
460	947	80
461	949	78
462	951	76
463	952	73
464	954	71
465	956	69
466	958	67
467	960	65
468	962	63
469	964	61
470	965	59
471	967	57
472	969	55
473	971	53
474	973	51
475	975	49
476	978	47
477	980	45
478	981	43
479	983	40
480	985	38
481	987	36
482	989	34
483	990	32
484	992	30
485	994	28
486	995	26
487	998	24
488	1000	22
489	1002	20
490	1004	18
491	1005	16
492	1007	14
493	1009	12
494	1011	10
495	1012	8
496	1015	6
497	1017	4
498	1019	2
499	1021	0
